,ORIG_YEAR,LOAN_AGE,ULT_REPURCHASE_LOAN_COUNT,ULT_REPURCHASE_UPB,ULT_ORIG_UPB_AT_TERMINAL,ORIG_LOAN_COUNT,ORIG_UPB,LOAN_AGE_MAX,REPURCHASE_UPB,ORIG_UPB_AT_TERMINAL,CUM_COUNT,CUM_UPB,CUM_ORIG_UPB_AT_TERMINAL,ult_repurch_rate,age_repurch_rate,age_ult_diff,ult_repurch_upb_rate,age_repurch_upb_rate,age_ult_upb_diff,age_repurch_orig_upb_at_terminal_rate
228,1999,41,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,334981.0,892000.0,442.0,37060858.0,45832000.0,0.494,0.276,0.21799999999999997,0.36,0.194,0.16599999999999998,0.24
229,1999,42,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,411125.0,717000.0,450.0,37471983.0,46549000.0,0.494,0.281,0.21299999999999997,0.36,0.196,0.16399999999999998,0.244
230,1999,43,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,803971.0,1086000.0,463.0,38275954.0,47635000.0,0.494,0.289,0.20500000000000002,0.36,0.2,0.15999999999999998,0.249
231,1999,44,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,290112.0,324000.0,468.0,38566066.0,47959000.0,0.494,0.293,0.201,0.36,0.202,0.15799999999999997,0.251
232,1999,45,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,303919.0,693000.0,476.0,38869985.0,48652000.0,0.494,0.298,0.196,0.36,0.204,0.156,0.255
233,1999,46,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,208977.0,502000.0,482.0,39078962.0,49154000.0,0.494,0.301,0.193,0.36,0.205,0.155,0.257
234,1999,47,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,260974.0,470000.0,492.0,39339936.0,49624000.0,0.494,0.308,0.186,0.36,0.206,0.154,0.26
4,1999,48,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,470452.0,985000.0,503.0,39810388.0,50609000.0,0.494,0.314,0.18,0.36,0.208,0.152,0.265
235,1999,49,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,377887.0,1059000.0,514.0,40188275.0,51668000.0,0.494,0.321,0.173,0.36,0.21,0.15,0.271
236,1999,50,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,300509.0,859000.0,526.0,40488784.0,52527000.0,0.494,0.329,0.16499999999999998,0.36,0.212,0.148,0.275
237,1999,51,790.0,50342525.0,68654000.0,159981.0,19096175000.0,240.000000,337746.0,953000.0,538.0,40826530.0,53480000.0,0.494,0.336,0.15799999999999997,0.36,0.214,0.146,0.28
